BDO Pension Fund - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2021

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2022,7.27,0.81,0.36,8.44
2023,7.51,0.79,0.36,8.66
2024,7.70,0.82,0.34,8.86
2025,7.92,0.80,0.36,9.08
2026,7.71,0.77,0.38,8.87
2027,8.14,0.83,0.37,9.33
2028,8.03,0.85,0.36,9.23
2029,8.34,0.83,0.35,9.52
2030,8.18,0.84,0.37,9.38
2031,8.47,0.79,0.34,9.60
2032,8.37,0.77,0.36,9.51
2033,8.79,0.81,0.34,9.94
2034,8.71,0.79,0.36,9.86
2035,9.04,0.81,0.38,10.24
2036,8.93,0.78,0.36,10.07
2037,9.32,0.83,0.36,10.51
2038,9.11,0.81,0.39,10.31
2039,9.51,0.80,0.38,10.69
2040,9.56,0.84,0.34,10.73
2041,9.70,0.83,0.36,10.89
