University of Reading Pension Scheme - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2025

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2026,3.68,0.36,0.15,4.19
2027,3.62,0.34,0.14,4.11
2028,3.54,0.40,0.19,4.13
2029,3.87,0.38,0.17,4.42
2030,3.78,0.39,0.18,4.34
2031,3.80,0.42,0.20,4.41
2032,4.03,0.38,0.20,4.61
2033,3.71,0.40,0.17,4.28
2034,4.11,0.35,0.16,4.61
2035,4.06,0.35,0.19,4.61
2036,4.18,0.39,0.17,4.74
2037,4.22,0.36,0.15,4.74
2038,4.05,0.42,0.19,4.66
2039,4.25,0.38,0.17,4.79
2040,4.26,0.34,0.15,4.75
2041,4.41,0.41,0.17,4.99
2042,4.56,0.36,0.18,5.09
2043,4.56,0.42,0.19,5.18
2044,4.63,0.39,0.16,5.19
2045,4.50,0.33,0.17,5.01
