Renishaw plc Pension Scheme - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2023

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2024,6.95,0.71,0.31,7.98
2025,6.99,0.72,0.35,8.06
2026,6.97,0.70,0.33,8.00
2027,7.04,0.73,0.36,8.14
2028,7.30,0.77,0.35,8.43
2029,7.28,0.77,0.31,8.37
2030,7.33,0.70,0.31,8.33
2031,7.65,0.76,0.31,8.73
2032,7.72,0.76,0.33,8.81
2033,7.78,0.71,0.31,8.79
2034,7.89,0.77,0.35,9.01
2035,7.94,0.70,0.35,9.00
2036,7.99,0.76,0.35,9.10
2037,8.31,0.76,0.34,9.41
2038,8.49,0.74,0.36,9.60
2039,8.50,0.72,0.35,9.57
2040,8.57,0.77,0.32,9.66
2041,8.53,0.76,0.35,9.64
2042,8.72,0.76,0.35,9.83
2043,8.93,0.72,0.36,10.01
