RSM UK Pension Fund - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2024

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2025,4.35,0.42,0.19,4.96
2026,4.43,0.47,0.22,5.11
2027,4.45,0.50,0.20,5.15
2028,4.24,0.46,0.21,4.92
2029,4.37,0.44,0.18,5.00
2030,4.38,0.49,0.23,5.10
2031,4.51,0.43,0.18,5.12
2032,4.62,0.46,0.18,5.26
2033,4.55,0.43,0.18,5.16
2034,4.96,0.49,0.21,5.66
2035,4.75,0.42,0.19,5.36
2036,4.73,0.50,0.18,5.41
2037,4.84,0.44,0.21,5.48
2038,5.18,0.42,0.22,5.82
2039,5.13,0.45,0.18,5.76
2040,5.21,0.48,0.18,5.87
2041,5.26,0.47,0.22,5.95
2042,5.36,0.44,0.22,6.02
2043,5.21,0.47,0.21,5.89
2044,5.39,0.41,0.19,6.00
