Spirax-Sarco Engineering Pension Plan - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2023

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2024,5.91,0.58,0.26,6.76
2025,5.77,0.63,0.30,6.70
2026,5.95,0.60,0.26,6.82
2027,6.24,0.63,0.28,7.16
2028,6.35,0.61,0.32,7.28
2029,6.21,0.63,0.27,7.11
2030,6.30,0.67,0.29,7.26
2031,6.29,0.67,0.29,7.25
2032,6.53,0.60,0.31,7.44
2033,6.56,0.63,0.31,7.50
2034,6.82,0.67,0.26,7.75
2035,6.73,0.60,0.29,7.62
2036,7.01,0.62,0.31,7.95
2037,7.00,0.60,0.27,7.87
2038,6.95,0.64,0.30,7.88
2039,7.15,0.68,0.27,8.10
2040,7.13,0.59,0.28,8.00
2041,7.48,0.60,0.27,8.35
2042,7.58,0.62,0.26,8.46
2043,7.56,0.64,0.29,8.49
