Thames Water UPS (Closed Section) - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2023

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2024,9.65,1.03,0.44,11.13
2025,9.49,1.06,0.44,10.99
2026,9.71,1.02,0.48,11.21
2027,10.02,1.04,0.49,11.55
2028,10.10,0.99,0.45,11.54
2029,10.26,1.05,0.48,11.79
2030,10.23,1.07,0.50,11.80
2031,10.34,1.06,0.47,11.87
2032,10.81,1.06,0.49,12.36
2033,10.74,1.01,0.46,12.21
2034,10.78,1.00,0.45,12.23
2035,11.30,1.07,0.44,12.81
2036,11.10,1.07,0.46,12.63
2037,11.34,1.03,0.46,12.84
2038,11.46,1.02,0.48,12.96
2039,11.73,1.00,0.46,13.19
2040,11.69,1.00,0.47,13.16
2041,11.90,1.04,0.47,13.42
2042,12.03,1.05,0.47,13.54
2043,12.33,1.00,0.44,13.76
